,Year,Date,Description,FullDate,Country
83,2018,June 23 – July 10,Twelve boys and their football coach are successfully rescued from the flooded Tham Luang Nang Non cave in Thailand.,,Thailand
84,2018,24-Jun,Saudi Arabia allows women to drive.,06/24/2018,Saudi Arabia
85,2018,2-Oct,"Exiled Washington Post journalist Jamal Khashoggi is assassinated inside the Saudi consulate in Istanbul, triggering a diplomatic crisis for Saudi Arabia.",10/02/2018,Turkey
86,2019,3-Jan,Chang'e 4 becomes the first object to land on the far side of the Moon.,01/03/2019,China
87,2019,25-Jan,Establishment of the Bangsamoro Autonomous Region in Muslim Mindanao.,01/25/2019,Philippines
88,2019,January – June,"A series of suicide bombings occur in Sulu, Philippines.",,Philippines
89,2019,15-Apr,"A major fire engulfs Notre-Dame Cathedral in Paris, resulting in the roof and main spire collapsing.",04/15/2019,EUR
90,2019,30-Apr,"Emperor Akihito of Japan abdicates from his throne, the first abdication by a Japanese monarch in almost two centuries. The abdication ends the Heisei era of Japan and ushers in the Reiwa era with new emperor Naruhito ascending the throne on May 1.",04/30/2019,Japan
91,2019,5-Aug,India revokes the special status of Jammu and Kashmir.,08/05/2019,India
92,2019,18-Oct,NASA astronauts Jessica Meir and Christina Koch conduct the first all-female spacewalk outside of the ISS.,10/18/2019,International Space Station
93,2019,18-Dec,US President Donald Trump is impeached by the House of Representatives for abuse of power and obstruction of Congress.,12/18/2019,U.S.
94,2019,20-Dec,The United States Space Force is announced by Vice President Mike Pence.,12/20/2019,U.S.
95,2020,2-Jan,The Royal Australian Air Force and Navy are deployed to New South Wales and Victoria to assist mass evacuation efforts amidst the 2019–20 Australian bushfire season.[1][2],01/02/2020,Australia
96,2020,3-Jan,Qasem Soleimani is targeted and killed at Baghdad International Airport.,01/03/2020,Iraq
97,2020,8-Jan,"Ukraine International Airlines Flight 752 is shot down by Iranian Islamic Revolutionary Guards Corps (IRGC) shortly after taking off from Tehran, killing all 176 on board.",01/08/2020,Iran
98,2020,January 16 – February 5,Donald Trump is acquitted by the United States Senate in his first impeachment trial.,,U.S.
99,2020,31-Jan,The United Kingdom formally withdraws from the European Union.,01/31/2020,U.K.
100,2020,9-Feb,Bong Joon-ho's Parasite becomes the first South Korean film to receive Academy Award recognitions at the 92nd Academy Awards.,02/09/2020,U.S.
101,2020,25-May,The murder of George Floyd sparks protests across the United States and the world.,05/25/2020,U.S.
102,2020,30-May,Crewed spaceflight resumes in the United States for the first time since 2011.,05/30/2020,U.S.
103,2020,16-Jun,"North Korea demolishes the Inter-Korean Liaison Office in Kaesong, established in 2018 to improve relations.",06/16/2020,North Korea
104,2020,30-Jun,China's National People's Congress grants itself sweeping powers to curtail civil liberties in Hong Kong.,06/30/2020,China
105,2020,9-Jul,Protests begin in Bulgaria against the government of prime minister Boyko Borisov.,07/09/2020,Bulgaria
106,2020,10-Jul,Turkish President Recep Tayyip Erdoğan orders the Hagia Sophia in Istanbul to be reverted to a mosque following the annulment of a 1934 presidential decree that made it into a museum.,07/10/2020,Turkey
107,2020,28-Jul,"Former Prime Minister of Malaysia Najib Razak is found guilty of all seven charges in the first of five trials on the 1MDB scandal, being jailed 12 years and fined RM210 million as a result.",07/28/2020,Malaysia
108,2020,30-Jul,NASA successfully launches its Mars 2020 rover mission to search for signs of ancient life and collect samples for return to Earth.,07/30/2020,U.S.
109,2020,4-Aug,"An explosion caused by unsafely stored ammonium nitrate kills at least 218 people, injures thousands, and severely damages the port of Beirut, Lebanon.",08/04/2020,Lebanon
110,2020,19-Aug,"The Special Tribunal for Lebanon convicts in absentia Salim Ayyash, a senior member of Hezbollah, for the 2005 assassination of former prime Minister Rafic Hariri.",08/19/2020,Lebanon
111,2020,25-Aug,"Africa is declared free of wild polio, the second virus to be eradicated from the continent since smallpox 40 years previously.",08/25/2020,Africa
112,2020,26-Aug,"Amazon CEO Jeff Bezos becomes the first person in history to have a net worth exceeding US$200 billion, according to Forbes.",08/26/2020,U.S.
113,2020,16-Sep,"A United Nations Human Rights Council fact-finding mission formally accuses the Venezuelan government of crimes against humanity, including cases of killings, torture, violence against political opposition and disappearances since 2014.",09/16/2020,Venezuela
